date,close,pct_change,main_net_inflow,main_net_inflow_pct,super_large_net,super_large_pct,large_net,large_pct,medium_net,medium_pct,small_net,small_pct,stock_code
2025-08-20,11.83,0.08,-75408448.0,-5.96,-137336784.0,-10.85,61928336.0,4.89,37872064.0,2.99,37536380.0,2.97,000001
2025-08-21,11.91,0.68,-48853456.0,-3.31,-85521472.0,-5.79,36668016.0,2.48,15979520.0,1.08,32873942.0,2.23,000001
2025-08-22,11.82,-0.76,-199610656.0,-10.08,-22024304.0,-1.11,-177586352.0,-8.97,91885952.0,4.64,107724672.0,5.44,000001
2025-08-25,12.21,3.3,113436992.0,3.02,-62421200.0,-1.66,175858192.0,4.68,-182437008.0,-4.85,69000016.0,1.83,000001
2025-08-26,12.12,-0.74,-54798352.0,-3.21,-45393680.0,-2.66,-9404672.0,-0.55,-3758256.0,-0.22,58556592.0,3.43,000001
2025-08-27,11.82,-2.48,-363385440.0,-16.02,-247116960.0,-10.9,-116268480.0,-5.13,153836448.0,6.78,209548992.0,9.24,000001
2025-08-28,11.84,0.17,37830192.0,1.9,6285792.0,0.32,31544400.0,1.58,26012992.0,1.31,-63843200.0,-3.21,000001
2025-08-29,11.81,-0.25,-177628768.0,-8.12,-178140240.0,-8.15,511472.0,0.02,84853504.0,3.88,92775248.0,4.24,000001
2025-09-01,11.65,-1.35,-297596528.0,-13.44,-241250432.0,-10.9,-56346096.0,-2.54,188192896.0,8.5,109403632.0,4.94,000001
2025-09-02,11.74,0.77,223263888.0,12.54,211025584.0,11.86,12238304.0,0.69,-96349424.0,-5.41,-126914464.0,-7.13,000001
2025-09-03,11.51,-1.96,-185370224.0,-11.45,-145300832.0,-8.97,-40069392.0,-2.47,81701888.0,5.05,103668324.0,6.4,000001
2025-09-04,11.5,-0.09,34806976.0,2.3,26703264.0,1.76,8103712.0,0.54,-63584256.0,-4.2,28777280.0,1.9,000001
2025-09-05,11.48,-0.17,-13128820.0,-1.37,-10288229.0,-1.07,-2840591.0,-0.3,21824317.0,2.28,-8695503.0,-0.91,000001
2025-09-08,11.46,-0.17,-70322864.0,-6.49,-67197904.0,-6.2,-3124960.0,-0.29,55922576.0,5.16,14400296.0,1.33,000001
