feature,importance
ret_std_60d,111
turnover_mean_60d,107
ret_skew_60d,88
f_amihud_illiq_v2_lag20,83
macd_hist,80
macd_dea,73
f_close_vwap_dev_v1_lag20,72
ret_kurt_60d,68
ret_mean_60d,67
boll_width,66
f_close_vwap_dev_v1,66
macd_dif,64
f_close_vwap_dev_v1_rank,64
bias_60,61
ret_std_20d,58
turnover_mean_20d,57
ret_kurt_20d,55
f_close_vwap_dev_v1_lag5,54
f_shadow_pressure_v1_lag20,48
amount_mean_20d,48
pv_corr_20,48
f_amihud_illiq_v2_chg20,45
f_tail_risk_cvar_v1,43
f_pv_corr_v1_lag20,43
ret_mean_20d,42
turnover_mean_5d,41
inter_f_overnight_momentum_v1xf_gap_momentum_v1_diff,40
ret_1d,39
inter_f_amihud_illiq_v2xf_turnover_decay_v1_prod,38
f_turnover_decay_v1_chg20,37
amount_mean_10d,37
f_close_vwap_dev_v1_chg20,37
amount_mean_5d,36
amount_mean_60d,36
f_close_vwap_dev_v1_chg5,35
bias_5,34
turnover_mean_10d,34
f_overnight_momentum_v1_chg20,34
f_overnight_momentum_v1_lag20,34
f_close_location_v1_lag5,33
inter_f_amihud_illiq_v2xf_gap_momentum_v1_prod,33
bias_20,32
f_tail_risk_cvar_v1_lag20,32
inter_f_shadow_pressure_v1xf_overnight_momentum_v1_diff,32
inter_f_amihud_illiq_v2xf_overnight_momentum_v1_prod,32
inter_f_amihud_illiq_v2xf_shadow_pressure_v1_diff,32
f_shadow_pressure_v1_lag5,31
f_tail_risk_cvar_v1_lag5,31
boll_pct,30
f_turnover_decay_v1_lag20,30
f_pv_corr_v1_rank,29
f_overnight_momentum_v1_lag5,29
inter_f_amihud_illiq_v2xf_shadow_pressure_v1_prod,29
turnover,28
ret_skew_20d,28
ret_std_10d,27
f_pv_corr_v1,27
f_gap_momentum_v1_chg20,27
bias_10,27
inter_f_overnight_momentum_v1xf_gap_momentum_v1_prod,26
inter_f_amihud_illiq_v2xf_overnight_momentum_v1_diff,26
ret_std_5d,26
f_pv_corr_v1_lag5,26
inter_f_amihud_illiq_v2xf_gap_momentum_v1_diff,25
f_close_location_v1_lag20,25
f_turnover_decay_v1_chg5,25
f_gap_momentum_v1_lag5,25
f_amihud_illiq_v2_rank,25
f_amihud_illiq_v2,25
f_amihud_illiq_v2_lag5,24
f_pv_corr_v1_chg20,23
f_turnover_decay_v1_lag5,23
log_amount,23
f_close_location_v1,23
rsi_14,23
inter_f_shadow_pressure_v1xf_gap_momentum_v1_prod,23
f_amihud_illiq_v2_chg5,23
f_overnight_momentum_v1,22
price_position_20,22
inter_f_amihud_illiq_v2xf_turnover_decay_v1_diff,22
f_shadow_pressure_v1_chg5,22
f_tail_risk_cvar_v1_rank,22
f_shadow_pressure_v1_chg20,21
f_turnover_decay_v1,21
f_tail_risk_cvar_v1_chg20,20
f_pv_corr_v1_chg5,20
f_overnight_momentum_v1_rank,20
ret_mean_5d,19
ret_mean_10d,19
f_close_location_v1_chg20,19
f_tail_risk_cvar_v1_chg5,19
inter_f_overnight_momentum_v1xf_turnover_decay_v1_prod,18
inter_f_shadow_pressure_v1xf_gap_momentum_v1_diff,17
f_gap_momentum_v1_lag20,17
f_close_location_v1_chg5,17
inter_f_overnight_momentum_v1xf_turnover_decay_v1_diff,15
f_shadow_pressure_v1_rank,15
amplitude,15
f_gap_momentum_v1,15
f_gap_momentum_v1_chg5,15
f_close_location_v1_rank,15
inter_f_gap_momentum_v1xf_turnover_decay_v1_prod,15
f_overnight_momentum_v1_chg5,14
inter_f_shadow_pressure_v1xf_overnight_momentum_v1_prod,13
inter_f_gap_momentum_v1xf_turnover_decay_v1_diff,13
inter_f_shadow_pressure_v1xf_turnover_decay_v1_diff,12
vol_ratio,12
f_turnover_decay_v1_rank,11
f_gap_momentum_v1_rank,9
inter_f_shadow_pressure_v1xf_turnover_decay_v1_prod,8
f_shadow_pressure_v1,5
